"","dataset","nr_fold","algorithm","metric"
"1","BF",1,"LRR",0.524885031356242
"2","BF",1,"GAM",0.459007694577693
"3","BF",1,"LDA",0.482584010987121
"4","BF",1,"CTREE",0.28465557220224
"5","BF",1,"RF",0.373969983407591
"6","BF",1,"XGB",0.490243978261643
"7","BF",1,"LGBM",0.506168131670338
"8","BF",1,"RE_boosting",0.478630850093875
"9","BF",1,"RE_RF",0.477640083201173
"10","BF",1,"RE_bag",0.468917293487836
"11","BF",1,"SRE_RF",0.416483564128598
"12","BF",1,"SRE_bag",0.411744856115758
"13","BF",1,"SRE_boosting",0.448524700329755
"14","BF",1,"SRE_PLTR",0.445339353040996
"15","BF",1,"PLTR",0.476834391768449
"16","BF",2,"LRR",0.526843101842963
"17","BF",2,"GAM",0.469730496751291
"18","BF",2,"LDA",0.483836579784562
"19","BF",2,"CTREE",0.288027070258454
"20","BF",2,"RF",0.381022393385125
"21","BF",2,"XGB",0.478233541270722
"22","BF",2,"LGBM",0.458855355660475
"23","BF",2,"RE_boosting",0.468095608747706
"24","BF",2,"RE_RF",0.474195428423888
"25","BF",2,"RE_bag",0.477962035174013
"26","BF",2,"SRE_RF",0.429383307770502
"27","BF",2,"SRE_bag",0.424712810214387
"28","BF",2,"SRE_boosting",0.42007860148108
"29","BF",2,"SRE_PLTR",0.433709283470255
"30","BF",2,"PLTR",0.472814055293663
"31","BF",3,"LRR",0.544538521734432
"32","BF",3,"GAM",0.464792570399235
"33","BF",3,"LDA",0.502639569854299
"34","BF",3,"CTREE",0.314332153792509
"35","BF",3,"RF",0.379063243566798
"36","BF",3,"XGB",0.509560451451241
"37","BF",3,"LGBM",0.502654746168949
"38","BF",3,"RE_boosting",0.482659637420434
"39","BF",3,"RE_RF",0.480639124128573
"40","BF",3,"RE_bag",0.486391444661676
"41","BF",3,"SRE_RF",0.434334502892035
"42","BF",3,"SRE_bag",0.425378974915475
"43","BF",3,"SRE_boosting",0.413837079170088
"44","BF",3,"SRE_PLTR",0.44413872551016
"45","BF",3,"PLTR",0.476317763483241
"46","BF",4,"LRR",0.501898184494895
"47","BF",4,"GAM",0.458569566933863
"48","BF",4,"LDA",0.452154137053713
"49","BF",4,"CTREE",0.296122020684461
"50","BF",4,"RF",0.365893738648535
"51","BF",4,"XGB",0.511647752838626
"52","BF",4,"LGBM",0.474426549510182
"53","BF",4,"RE_boosting",0.468059650054926
"54","BF",4,"RE_RF",0.464196602189504
"55","BF",4,"RE_bag",0.460038646406907
"56","BF",4,"SRE_RF",0.405512572992164
"57","BF",4,"SRE_bag",0.39756787002074
"58","BF",4,"SRE_boosting",0.413786435703461
"59","BF",4,"SRE_PLTR",0.423392641610271
"60","BF",4,"PLTR",0.477011206150064
"61","BF",5,"LRR",0.534688246724722
"62","BF",5,"GAM",0.443865134958029
"63","BF",5,"LDA",0.466785003228584
"64","BF",5,"CTREE",0.328140149741523
"65","BF",5,"RF",0.366525249437442
"66","BF",5,"XGB",0.517458542808322
"67","BF",5,"LGBM",0.509298557749602
"68","BF",5,"RE_boosting",0.446833766500742
"69","BF",5,"RE_RF",0.447550489962665
"70","BF",5,"RE_bag",0.456733600501963
"71","BF",5,"SRE_RF",0.420790805919583
"72","BF",5,"SRE_bag",0.421745922864012
"73","BF",5,"SRE_boosting",0.404730644039849
"74","BF",5,"SRE_PLTR",0.43153766145802
"75","BF",5,"PLTR",0.466985320070966
"76","BF",6,"LRR",0.513045083821892
"77","BF",6,"GAM",0.473125898857083
"78","BF",6,"LDA",0.489510546104929
"79","BF",6,"CTREE",0.359404947746093
"80","BF",6,"RF",0.355908508026686
"81","BF",6,"XGB",0.499800739224679
"82","BF",6,"LGBM",0.484076185177433
"83","BF",6,"RE_boosting",0.432972740208101
"84","BF",6,"RE_RF",0.428282487819664
"85","BF",6,"RE_bag",0.386030458730501
"86","BF",6,"SRE_RF",0.418852497720934
"87","BF",6,"SRE_bag",0.403603715561597
"88","BF",6,"SRE_boosting",0.422760674240363
"89","BF",6,"SRE_PLTR",0.407365030054092
"90","BF",6,"PLTR",0.469565962060956
