"","dataset","nr_fold","algorithm","metric"
"1","LC",1,"LRR",0.723922082098638
"2","LC",1,"GAM",0.719853903934946
"3","LC",1,"LDA",0.720294948659638
"4","LC",1,"CTREE",0.680954678060322
"5","LC",1,"RF",0.716871109273425
"6","LC",1,"XGB",0.700712103461742
"7","LC",1,"LGBM",0.71256747754577
"8","LC",1,"RE_boosting",0.697221647945237
"9","LC",1,"RE_RF",0.69524843222383
"10","LC",1,"RE_bag",0.702276433969632
"11","LC",1,"SRE_RF",0.724820251303609
"12","LC",1,"SRE_bag",0.718644476603956
"13","LC",1,"SRE_boosting",0.684710449544024
"14","LC",1,"SRE_PLTR",0.720058346541704
"15","LC",1,"PLTR",0.715126455792158
"16","LC",2,"LRR",0.709651117389008
"17","LC",2,"GAM",0.705753462413009
"18","LC",2,"LDA",0.711116470291003
"19","LC",2,"CTREE",0.656770940995429
"20","LC",2,"RF",0.69546957899814
"21","LC",2,"XGB",0.68060819035807
"22","LC",2,"LGBM",0.684920416178598
"23","LC",2,"RE_boosting",0.664232067801282
"24","LC",2,"RE_RF",0.695936976044466
"25","LC",2,"RE_bag",0.686556880038586
"26","LC",2,"SRE_RF",0.711045269758148
"27","LC",2,"SRE_bag",0.692011759571878
"28","LC",2,"SRE_boosting",0.650531707205035
"29","LC",2,"SRE_PLTR",0.698070695238751
"30","LC",2,"PLTR",0.692987895909415
"31","LC",3,"LRR",0.735680385188582
"32","LC",3,"GAM",0.729056517253239
"33","LC",3,"LDA",0.732557606328098
"34","LC",3,"CTREE",0.678244869884214
"35","LC",3,"RF",0.725338759601055
"36","LC",3,"XGB",0.666415224120142
"37","LC",3,"LGBM",0.651200275134701
"38","LC",3,"RE_boosting",0.709067981199129
"39","LC",3,"RE_RF",0.717659062249226
"40","LC",3,"RE_bag",0.725064771294279
"41","LC",3,"SRE_RF",0.734572968015591
"42","LC",3,"SRE_bag",0.733190416141236
"43","LC",3,"SRE_boosting",0.674089189499026
"44","LC",3,"SRE_PLTR",0.723145706752264
"45","LC",3,"PLTR",0.732984065115213
"46","LC",4,"LRR",0.697967110573043
"47","LC",4,"GAM",0.701179470247267
"48","LC",4,"LDA",0.695064293051581
"49","LC",4,"CTREE",0.661758703866755
"50","LC",4,"RF",0.688905550664025
"51","LC",4,"XGB",0.661621129576638
"52","LC",4,"LGBM",0.676513546481767
"53","LC",4,"RE_boosting",0.673454811431506
"54","LC",4,"RE_RF",0.688056029422555
"55","LC",4,"RE_bag",0.674085360261208
"56","LC",4,"SRE_RF",0.698496771589992
"57","LC",4,"SRE_bag",0.690489947905202
"58","LC",4,"SRE_boosting",0.660425379705041
"59","LC",4,"SRE_PLTR",0.690501412429379
"60","LC",4,"PLTR",0.687607766527258
"61","LC",5,"LRR",0.69898529991655
"62","LC",5,"GAM",0.723518299448861
"63","LC",5,"LDA",0.718188029015012
"64","LC",5,"CTREE",0.64956394948967
"65","LC",5,"RF",0.690986455381624
"66","LC",5,"XGB",0.68513805973571
"67","LC",5,"LGBM",0.689795455170706
"68","LC",5,"RE_boosting",0.692646290131778
"69","LC",5,"RE_RF",0.712972388052858
"70","LC",5,"RE_bag",0.690307848909186
"71","LC",5,"SRE_RF",0.718018377396902
"72","LC",5,"SRE_bag",0.711012224086862
"73","LC",5,"SRE_boosting",0.67502774033215
"74","LC",5,"SRE_PLTR",0.691775106146891
"75","LC",5,"PLTR",0.698992177684851
"76","LC",6,"LRR",0.708074662313963
"77","LC",6,"GAM",0.711281877286774
"78","LC",6,"LDA",0.715921908098046
"79","LC",6,"CTREE",0.68562874251497
"80","LC",6,"RF",0.712641332954306
"81","LC",6,"XGB",0.703120558270901
"82","LC",6,"LGBM",0.689830904806008
"83","LC",6,"RE_boosting",0.665512008142979
"84","LC",6,"RE_RF",0.683664065437272
"85","LC",6,"RE_bag",0.710915076432128
"86","LC",6,"SRE_RF",0.716064043429221
"87","LC",6,"SRE_bag",0.712237852014195
"88","LC",6,"SRE_boosting",0.649902339272451
"89","LC",6,"SRE_PLTR",0.703322298740956
"90","LC",6,"PLTR",0.693634171167619
