"","dataset","nr_fold","algorithm","metric"
"1","AC",1,"LRR",0.916603066675918
"2","AC",1,"GAM",0.923714702005134
"3","AC",1,"LDA",0.94418233539166
"4","AC",1,"CTREE",0.924304447373899
"5","AC",1,"RF",0.941875390272671
"6","AC",1,"XGB",0.923437174772775
"7","AC",1,"LGBM",0.930219246513564
"8","AC",1,"RE_boosting",0.935075973079858
"9","AC",1,"RE_RF",0.932925137029071
"10","AC",1,"RE_bag",0.924512592798168
"11","AC",1,"SRE_RF",0.920835356969403
"12","AC",1,"SRE_bag",0.930253937417609
"13","AC",1,"SRE_boosting",0.940557135918962
"14","AC",1,"SRE_PLTR",0.928554083119406
"15","AC",1,"PLTR",0.921858738638729
"16","AC",2,"LRR",0.907171717171717
"17","AC",2,"GAM",0.875707070707071
"18","AC",2,"LDA",0.913232323232323
"19","AC",2,"CTREE",0.903215488215488
"20","AC",2,"RF",0.929377104377104
"21","AC",2,"XGB",0.91973063973064
"22","AC",2,"LGBM",0.908047138047138
"23","AC",2,"RE_boosting",0.93462962962963
"24","AC",2,"RE_RF",0.920673400673401
"25","AC",2,"RE_bag",0.915420875420875
"26","AC",2,"SRE_RF",0.915959595959596
"27","AC",2,"SRE_bag",0.918636363636364
"28","AC",2,"SRE_boosting",0.927592592592593
"29","AC",2,"SRE_PLTR",0.907239057239057
"30","AC",2,"PLTR",0.912003367003367
"31","AC",3,"LRR",0.901307300509338
"32","AC",3,"GAM",0.862529711375212
"33","AC",3,"LDA",0.902852292020374
"34","AC",3,"CTREE",0.880899830220713
"35","AC",3,"RF",0.920084889643463
"36","AC",3,"XGB",0.922173174872665
"37","AC",3,"LGBM",0.926451612903226
"38","AC",3,"RE_boosting",0.918285229202037
"39","AC",3,"RE_RF",0.889779286926995
"40","AC",3,"RE_bag",0.915280135823429
"41","AC",3,"SRE_RF",0.889235993208829
"42","AC",3,"SRE_bag",0.916706281833616
"43","AC",3,"SRE_boosting",0.916281833616299
"44","AC",3,"SRE_PLTR",0.900407470288625
"45","AC",3,"PLTR",0.904550084889644
"46","AC",4,"LRR",0.922722934278702
"47","AC",4,"GAM",0.900974911371693
"48","AC",4,"LDA",0.926711208071993
"49","AC",4,"CTREE",0.934329833651486
"50","AC",4,"RF",0.94009067357513
"51","AC",4,"XGB",0.941386010362694
"52","AC",4,"LGBM",0.936272838832833
"53","AC",4,"RE_boosting",0.936630760839924
"54","AC",4,"RE_RF",0.941283746932097
"55","AC",4,"RE_bag",0.933392418871012
"56","AC",4,"SRE_RF",0.929642759749114
"57","AC",4,"SRE_bag",0.939630488137442
"58","AC",4,"SRE_boosting",0.939460049086447
"59","AC",4,"SRE_PLTR",0.931756203981456
"60","AC",4,"PLTR",0.936784155985819
"61","AC",5,"LRR",0.894399249061327
"62","AC",5,"GAM",0.8886629119733
"63","AC",5,"LDA",0.90157836184119
"64","AC",5,"CTREE",0.908479349186483
"65","AC",5,"RF",0.92155124461132
"66","AC",5,"XGB",0.910582672785426
"67","AC",5,"LGBM",0.908531497705465
"68","AC",5,"RE_boosting",0.918961201501877
"69","AC",5,"RE_RF",0.924819218467529
"70","AC",5,"RE_bag",0.926279376999027
"71","AC",5,"SRE_RF",0.897076206369072
"72","AC",5,"SRE_bag",0.921029759421499
"73","AC",5,"SRE_boosting",0.921759838687248
"74","AC",5,"SRE_PLTR",0.901734807398137
"75","AC",5,"PLTR",0.905732860520095
"76","AC",6,"LRR",0.930874335330147
"77","AC",6,"GAM",0.875058894797065
"78","AC",6,"LDA",0.918523255031298
"79","AC",6,"CTREE",0.925119472302618
"80","AC",6,"RF",0.930504139462879
"81","AC",6,"XGB",0.934508985663324
"82","AC",6,"LGBM",0.925960826546409
"83","AC",6,"RE_boosting",0.927862287137376
"84","AC",6,"RE_RF",0.933230127212762
"85","AC",6,"RE_bag",0.928215655919769
"86","AC",6,"SRE_RF",0.929932018577102
"87","AC",6,"SRE_bag",0.926448812007808
"88","AC",6,"SRE_boosting",0.92463148684122
"89","AC",6,"SRE_PLTR",0.931648381234435
"90","AC",6,"PLTR",0.913979942114828
