"","dataset","nr_fold","algorithm","metric"
"1","GC",1,"LRR",0.0378535659945808
"2","GC",1,"GAM",0.0390954497317185
"3","GC",1,"LDA",0.039650083740459
"4","GC",1,"CTREE",0.0337311131828117
"5","GC",1,"RF",0.0401367191733262
"6","GC",1,"XGB",0.0359316151711494
"7","GC",1,"LGBM",0.0394575899417568
"8","GC",1,"RE_boosting",0.0383197848847273
"9","GC",1,"RE_RF",0.0381784381451037
"10","GC",1,"RE_bag",0.0383660643475137
"11","GC",1,"SRE_RF",0.036230249028837
"12","GC",1,"SRE_bag",0.037785851566506
"13","GC",1,"SRE_boosting",0.0356249533601437
"14","GC",1,"SRE_PLTR",0.0358452132255986
"15","GC",1,"PLTR",0.0359410254040567
"16","GC",2,"LRR",0.0413207028270137
"17","GC",2,"GAM",0.0415073191457389
"18","GC",2,"LDA",0.0425467675850129
"19","GC",2,"CTREE",0.0369845379933263
"20","GC",2,"RF",0.0404302060727321
"21","GC",2,"XGB",0.0379758629836263
"22","GC",2,"LGBM",0.0369140554864222
"23","GC",2,"RE_boosting",0.0445246982816667
"24","GC",2,"RE_RF",0.0422816663461311
"25","GC",2,"RE_bag",0.0429994621356991
"26","GC",2,"SRE_RF",0.0336054984243836
"27","GC",2,"SRE_bag",0.0396453597577594
"28","GC",2,"SRE_boosting",0.0411969418681827
"29","GC",2,"SRE_PLTR",0.0400502580167121
"30","GC",2,"PLTR",0.0392757937501778
"31","GC",3,"LRR",0.0429848912034616
"32","GC",3,"GAM",0.0465152612561046
"33","GC",3,"LDA",0.0482784230071789
"34","GC",3,"CTREE",0.0413433962253043
"35","GC",3,"RF",0.0429057525420727
"36","GC",3,"XGB",0.0422633770201338
"37","GC",3,"LGBM",0.041103052019701
"38","GC",3,"RE_boosting",0.0432852352176485
"39","GC",3,"RE_RF",0.0461397952212777
"40","GC",3,"RE_bag",0.0436690376658366
"41","GC",3,"SRE_RF",0.0426911307724966
"42","GC",3,"SRE_bag",0.0431666653763333
"43","GC",3,"SRE_boosting",0.0451527953049108
"44","GC",3,"SRE_PLTR",0.0414828346174287
"45","GC",3,"PLTR",0.0417760099864754
"46","GC",4,"LRR",0.033321659274055
"47","GC",4,"GAM",0.0312438788985026
"48","GC",4,"LDA",0.0323235767535841
"49","GC",4,"CTREE",0.0284895872070832
"50","GC",4,"RF",0.0306922593191161
"51","GC",4,"XGB",0.0324374284307394
"52","GC",4,"LGBM",0.0271178814249573
"53","GC",4,"RE_boosting",0.0310688933865556
"54","GC",4,"RE_RF",0.0298083088046937
"55","GC",4,"RE_bag",0.030931407116271
"56","GC",4,"SRE_RF",0.0253855556817228
"57","GC",4,"SRE_bag",0.0303627728296129
"58","GC",4,"SRE_boosting",0.0290617939855385
"59","GC",4,"SRE_PLTR",0.0295650446115467
"60","GC",4,"PLTR",0.0285338417764103
"61","GC",5,"LRR",0.0433162641887333
"62","GC",5,"GAM",0.0416519962681603
"63","GC",5,"LDA",0.041772950186352
"64","GC",5,"CTREE",0.0371499775676943
"65","GC",5,"RF",0.0433593711550889
"66","GC",5,"XGB",0.0405538082617247
"67","GC",5,"LGBM",0.0375510905135556
"68","GC",5,"RE_boosting",0.0403138554268551
"69","GC",5,"RE_RF",0.0400823675019313
"70","GC",5,"RE_bag",0.0382942135095067
"71","GC",5,"SRE_RF",0.0343102071860727
"72","GC",5,"SRE_bag",0.0379204262425574
"73","GC",5,"SRE_boosting",0.0394036777636975
"74","GC",5,"SRE_PLTR",0.0375836665788061
"75","GC",5,"PLTR",0.0382198965754799
"76","GC",6,"LRR",0.039676470779903
"77","GC",6,"GAM",0.040222647396861
"78","GC",6,"LDA",0.0414790763812423
"79","GC",6,"CTREE",0.035103551050676
"80","GC",6,"RF",0.039491151563994
"81","GC",6,"XGB",0.0384714825152949
"82","GC",6,"LGBM",0.0356100612726182
"83","GC",6,"RE_boosting",0.0364882981639955
"84","GC",6,"RE_RF",0.034286320678132
"85","GC",6,"RE_bag",0.0380157237385722
"86","GC",6,"SRE_RF",0.0321370048845235
"87","GC",6,"SRE_bag",0.0345208827593348
"88","GC",6,"SRE_boosting",0.0368665555093323
"89","GC",6,"SRE_PLTR",0.0346156773596889
"90","GC",6,"PLTR",0.0357275681567919
