"","dataset","nr_fold","algorithm","metric"
"1","BF",1,"LRR",0.135090321398724
"2","BF",1,"GAM",0.121659732677821
"3","BF",1,"LDA",0.13935315219555
"4","BF",1,"CTREE",0.136006131946757
"5","BF",1,"RF",0.117858288600554
"6","BF",1,"XGB",0.0974150405791692
"7","BF",1,"LGBM",0.0978344201430308
"8","BF",1,"RE_boosting",0.101792011982096
"9","BF",1,"RE_RF",0.10208801933826
"10","BF",1,"RE_bag",0.109039282079593
"11","BF",1,"SRE_RF",0.109892356878472
"12","BF",1,"SRE_bag",0.114219560771327
"13","BF",1,"SRE_boosting",0.109416202616833
"14","BF",1,"SRE_PLTR",0.113221989265499
"15","BF",1,"PLTR",0.115654970129451
"16","BF",2,"LRR",0.138018142752156
"17","BF",2,"GAM",0.126138659080284
"18","BF",2,"LDA",0.145450424446667
"19","BF",2,"CTREE",0.139977602334858
"20","BF",2,"RF",0.11964729878221
"21","BF",2,"XGB",0.0995851847377337
"22","BF",2,"LGBM",0.099568613606086
"23","BF",2,"RE_boosting",0.107307739719215
"24","BF",2,"RE_RF",0.106504539967397
"25","BF",2,"RE_bag",0.120112250663957
"26","BF",2,"SRE_RF",0.112955272537268
"27","BF",2,"SRE_bag",0.124202133653304
"28","BF",2,"SRE_boosting",0.112219592415415
"29","BF",2,"SRE_PLTR",0.11659704399533
"30","BF",2,"PLTR",0.118729511114632
"31","BF",3,"LRR",0.135795005866407
"32","BF",3,"GAM",0.122538571854456
"33","BF",3,"LDA",0.141090213720872
"34","BF",3,"CTREE",0.136555573101108
"35","BF",3,"RF",0.120033231162786
"36","BF",3,"XGB",0.0989343058704207
"37","BF",3,"LGBM",0.0995167796894433
"38","BF",3,"RE_boosting",0.106587613548459
"39","BF",3,"RE_RF",0.104357837935818
"40","BF",3,"RE_bag",0.109468223592382
"41","BF",3,"SRE_RF",0.111610492465115
"42","BF",3,"SRE_bag",0.115377392953882
"43","BF",3,"SRE_boosting",0.111293911935447
"44","BF",3,"SRE_PLTR",0.114829061675214
"45","BF",3,"PLTR",0.117536195433838
"46","BF",4,"LRR",0.137331373477605
"47","BF",4,"GAM",0.125057875468395
"48","BF",4,"LDA",0.14390817252983
"49","BF",4,"CTREE",0.136256373172119
"50","BF",4,"RF",0.120649394176552
"51","BF",4,"XGB",0.0984929456078774
"52","BF",4,"LGBM",0.0973635932435302
"53","BF",4,"RE_boosting",0.105285562720411
"54","BF",4,"RE_RF",0.105724995632418
"55","BF",4,"RE_bag",0.11208844917154
"56","BF",4,"SRE_RF",0.111844182031964
"57","BF",4,"SRE_bag",0.116532702290313
"58","BF",4,"SRE_boosting",0.112973843159621
"59","BF",4,"SRE_PLTR",0.115799515283238
"60","BF",4,"PLTR",0.118078902279978
"61","BF",5,"LRR",0.13436333107862
"62","BF",5,"GAM",0.123066006431644
"63","BF",5,"LDA",0.13992921093094
"64","BF",5,"CTREE",0.129876402626427
"65","BF",5,"RF",0.116603787952511
"66","BF",5,"XGB",0.0970012650375948
"67","BF",5,"LGBM",0.0939950662245223
"68","BF",5,"RE_boosting",0.10334362395188
"69","BF",5,"RE_RF",0.102264515276961
"70","BF",5,"RE_bag",0.106671501239687
"71","BF",5,"SRE_RF",0.10890549676524
"72","BF",5,"SRE_bag",0.112484861808874
"73","BF",5,"SRE_boosting",0.108391874203479
"74","BF",5,"SRE_PLTR",0.111996280186628
"75","BF",5,"PLTR",0.115022192378941
"76","BF",6,"LRR",0.138753174856656
"77","BF",6,"GAM",0.125605448403985
"78","BF",6,"LDA",0.144545174153398
"79","BF",6,"CTREE",0.139331145057433
"80","BF",6,"RF",0.121186249278144
"81","BF",6,"XGB",0.101265571638165
"82","BF",6,"LGBM",0.102031052264639
"83","BF",6,"RE_boosting",0.109042085114473
"84","BF",6,"RE_RF",0.105474003501774
"85","BF",6,"RE_bag",0.123514804281109
"86","BF",6,"SRE_RF",0.114308689849188
"87","BF",6,"SRE_bag",0.1192430580369
"88","BF",6,"SRE_boosting",0.113286689618606
"89","BF",6,"SRE_PLTR",0.117933858286112
"90","BF",6,"PLTR",0.120686868506862
