"","dataset","nr_fold","algorithm","metric"
"1","LC",1,"LRR",0.216016730989329
"2","LC",1,"GAM",0.215914829397542
"3","LC",1,"LDA",0.215651589898348
"4","LC",1,"CTREE",0.232069694340502
"5","LC",1,"RF",0.214745418629207
"6","LC",1,"XGB",0.233366193541017
"7","LC",1,"LGBM",0.226002871774078
"8","LC",1,"RE_boosting",0.232683786420219
"9","LC",1,"RE_RF",0.216631033170399
"10","LC",1,"RE_bag",0.228746071119893
"11","LC",1,"SRE_RF",0.23004505819535
"12","LC",1,"SRE_bag",0.215179085504455
"13","LC",1,"SRE_boosting",0.215001182468446
"14","LC",1,"SRE_PLTR",0.216935721046934
"15","LC",1,"PLTR",0.217275672673344
"16","LC",2,"LRR",0.219498479996229
"17","LC",2,"GAM",0.222675612654696
"18","LC",2,"LDA",0.218709602458191
"19","LC",2,"CTREE",0.239337374645535
"20","LC",2,"RF",0.229930507191522
"21","LC",2,"XGB",0.240879895108095
"22","LC",2,"LGBM",0.236205927137838
"23","LC",2,"RE_boosting",0.231196832216352
"24","LC",2,"RE_RF",0.232387685158684
"25","LC",2,"RE_bag",0.234774772951466
"26","LC",2,"SRE_RF",0.301954103345141
"27","LC",2,"SRE_bag",0.223998098516174
"28","LC",2,"SRE_boosting",0.215594841296629
"29","LC",2,"SRE_PLTR",0.228936907359585
"30","LC",2,"PLTR",0.22952318679649
"31","LC",3,"LRR",0.209140283637018
"32","LC",3,"GAM",0.211158713284424
"33","LC",3,"LDA",0.209461003203187
"34","LC",3,"CTREE",0.223108877855642
"35","LC",3,"RF",0.212286449659349
"36","LC",3,"XGB",0.250104319992182
"37","LC",3,"LGBM",0.22172637167202
"38","LC",3,"RE_boosting",0.218256431663608
"39","LC",3,"RE_RF",0.212372215953408
"40","LC",3,"RE_bag",0.214835522620972
"41","LC",3,"SRE_RF",0.234482047493291
"42","LC",3,"SRE_bag",0.213866471701955
"43","LC",3,"SRE_boosting",0.208479228716566
"44","LC",3,"SRE_PLTR",0.211396193042367
"45","LC",3,"PLTR",0.211337936231061
"46","LC",4,"LRR",0.220989356611473
"47","LC",4,"GAM",0.221363395299021
"48","LC",4,"LDA",0.222865007293174
"49","LC",4,"CTREE",0.235782316697221
"50","LC",4,"RF",0.223871929409538
"51","LC",4,"XGB",0.235181150204745
"52","LC",4,"LGBM",0.233796500822544
"53","LC",4,"RE_boosting",0.240275346574121
"54","LC",4,"RE_RF",0.229683761714885
"55","LC",4,"RE_bag",0.243654197818097
"56","LC",4,"SRE_RF",0.258440099756494
"57","LC",4,"SRE_bag",0.222707514239163
"58","LC",4,"SRE_boosting",0.223709645464276
"59","LC",4,"SRE_PLTR",0.22328311801259
"60","LC",4,"PLTR",0.223363229049546
"61","LC",5,"LRR",0.214713530531847
"62","LC",5,"GAM",0.213094542373581
"63","LC",5,"LDA",0.214785784840363
"64","LC",5,"CTREE",0.237670474038906
"65","LC",5,"RF",0.220282681470267
"66","LC",5,"XGB",0.23865367324349
"67","LC",5,"LGBM",0.226720613308524
"68","LC",5,"RE_boosting",0.237200295471957
"69","LC",5,"RE_RF",0.226553141455771
"70","LC",5,"RE_bag",0.231434679446005
"71","LC",5,"SRE_RF",0.2254031814753
"72","LC",5,"SRE_bag",0.221895798923411
"73","LC",5,"SRE_boosting",0.217458853797727
"74","LC",5,"SRE_PLTR",0.220620457685274
"75","LC",5,"PLTR",0.220762057630345
"76","LC",6,"LRR",0.214749661197417
"77","LC",6,"GAM",0.217162757253962
"78","LC",6,"LDA",0.214925688613037
"79","LC",6,"CTREE",0.222314387880322
"80","LC",6,"RF",0.218248318824123
"81","LC",6,"XGB",0.229844221966861
"82","LC",6,"LGBM",0.228691231443169
"83","LC",6,"RE_boosting",0.231670664186799
"84","LC",6,"RE_RF",0.225773105125818
"85","LC",6,"RE_bag",0.218596765574603
"86","LC",6,"SRE_RF",0.265767946243156
"87","LC",6,"SRE_bag",0.212481054155028
"88","LC",6,"SRE_boosting",0.220453269964148
"89","LC",6,"SRE_PLTR",0.218444910269919
"90","LC",6,"PLTR",0.218507797109928
