"","dataset","nr_fold","algorithm","metric"
"1","TC",1,"LRR",0.724117314402491
"2","TC",1,"GAM",0.745368884405521
"3","TC",1,"LDA",0.716402609464163
"4","TC",1,"CTREE",0.757872716696381
"5","TC",1,"RF",0.758687499943808
"6","TC",1,"XGB",0.747096562041755
"7","TC",1,"LGBM",0.759740986586757
"8","TC",1,"RE_boosting",0.771090411495884
"9","TC",1,"RE_RF",0.766081011706806
"10","TC",1,"RE_bag",0.762241865428825
"11","TC",1,"SRE_RF",0.735567210514817
"12","TC",1,"SRE_bag",0.750959758473521
"13","TC",1,"SRE_boosting",0.771071531001323
"14","TC",1,"SRE_PLTR",0.764848834668904
"15","TC",1,"PLTR",0.764749037769081
"16","TC",2,"LRR",0.714091346951388
"17","TC",2,"GAM",0.747508289090439
"18","TC",2,"LDA",0.705181064207433
"19","TC",2,"CTREE",0.747718913033315
"20","TC",2,"RF",0.761953413069032
"21","TC",2,"XGB",0.750431512094798
"22","TC",2,"LGBM",0.756189911362325
"23","TC",2,"RE_boosting",0.755374351723236
"24","TC",2,"RE_RF",0.756805051936898
"25","TC",2,"RE_bag",0.750032691209162
"26","TC",2,"SRE_RF",0.745362416762011
"27","TC",2,"SRE_bag",0.743346003995091
"28","TC",2,"SRE_boosting",0.764785385475041
"29","TC",2,"SRE_PLTR",0.753900933414118
"30","TC",2,"PLTR",0.752273967284109
"31","TC",3,"LRR",0.716927547626694
"32","TC",3,"GAM",0.742576151032265
"33","TC",3,"LDA",0.706041742799243
"34","TC",3,"CTREE",0.755211159466832
"35","TC",3,"RF",0.757460415674636
"36","TC",3,"XGB",0.740756121059101
"37","TC",3,"LGBM",0.753452150906762
"38","TC",3,"RE_boosting",0.754111966564418
"39","TC",3,"RE_RF",0.76613076254388
"40","TC",3,"RE_bag",0.760987314928629
"41","TC",3,"SRE_RF",0.754601176040663
"42","TC",3,"SRE_bag",0.757136390817581
"43","TC",3,"SRE_boosting",0.767446702582786
"44","TC",3,"SRE_PLTR",0.761698231694037
"45","TC",3,"PLTR",0.754992220634973
"46","TC",4,"LRR",0.716959214178945
"47","TC",4,"GAM",0.742215142753259
"48","TC",4,"LDA",0.715724154647921
"49","TC",4,"CTREE",0.739428525258122
"50","TC",4,"RF",0.764284617737533
"51","TC",4,"XGB",0.720321000051942
"52","TC",4,"LGBM",0.761505156662107
"53","TC",4,"RE_boosting",0.760996242879651
"54","TC",4,"RE_RF",0.756366270177929
"55","TC",4,"RE_bag",0.751176827051267
"56","TC",4,"SRE_RF",0.762462154659464
"57","TC",4,"SRE_bag",0.752041253296859
"58","TC",4,"SRE_boosting",0.765732984746438
"59","TC",4,"SRE_PLTR",0.756410593809697
"60","TC",4,"PLTR",0.758239289898483
"61","TC",5,"LRR",0.701335503386011
"62","TC",5,"GAM",0.743393561917408
"63","TC",5,"LDA",0.705942283288555
"64","TC",5,"CTREE",0.750954037358722
"65","TC",5,"RF",0.753228331375658
"66","TC",5,"XGB",0.743511091163977
"67","TC",5,"LGBM",0.758337073420956
"68","TC",5,"RE_boosting",0.757781615997357
"69","TC",5,"RE_RF",0.759752579171297
"70","TC",5,"RE_bag",0.756764518355754
"71","TC",5,"SRE_RF",0.760384442060258
"72","TC",5,"SRE_bag",0.757453542155083
"73","TC",5,"SRE_boosting",0.7575652293046
"74","TC",5,"SRE_PLTR",0.763309270766536
"75","TC",5,"PLTR",0.765351942818012
"76","TC",6,"LRR",0.722234156920513
"77","TC",6,"GAM",0.748940524283546
"78","TC",6,"LDA",0.719002488617088
"79","TC",6,"CTREE",0.761497531842395
"80","TC",6,"RF",0.766983114416868
"81","TC",6,"XGB",0.753670965947981
"82","TC",6,"LGBM",0.766162177670148
"83","TC",6,"RE_boosting",0.766348870450555
"84","TC",6,"RE_RF",0.762352296483945
"85","TC",6,"RE_bag",0.754454819882153
"86","TC",6,"SRE_RF",0.761028242456031
"87","TC",6,"SRE_bag",0.745052292578044
"88","TC",6,"SRE_boosting",0.767486115451001
"89","TC",6,"SRE_PLTR",0.753942170341934
"90","TC",6,"PLTR",0.757261256435437
