"","dataset","nr_fold","algorithm","metric"
"1","HMEQ",1,"LRR",0.905659572557471
"2","HMEQ",1,"GAM",0.93272195282567
"3","HMEQ",1,"LDA",0.907860392720306
"4","HMEQ",1,"CTREE",0.866750478927203
"5","HMEQ",1,"RF",0.96005148467433
"6","HMEQ",1,"XGB",0.952489673132184
"7","HMEQ",1,"LGBM",0.950845605842912
"8","HMEQ",1,"RE_boosting",0.928713182471264
"9","HMEQ",1,"RE_RF",0.926044285799808
"10","HMEQ",1,"RE_bag",0.909282956178161
"11","HMEQ",1,"SRE_RF",0.918254609674329
"12","HMEQ",1,"SRE_bag",0.894347162356322
"13","HMEQ",1,"SRE_boosting",0.927266672653257
"14","HMEQ",1,"SRE_PLTR",0.906869612068966
"15","HMEQ",1,"PLTR",0.915052532327586
"16","HMEQ",2,"LRR",0.895115317290861
"17","HMEQ",2,"GAM",0.91488795275742
"18","HMEQ",2,"LDA",0.896232519668379
"19","HMEQ",2,"CTREE",0.863494335122242
"20","HMEQ",2,"RF",0.946832862061669
"21","HMEQ",2,"XGB",0.940759805335949
"22","HMEQ",2,"LGBM",0.938395368072787
"23","HMEQ",2,"RE_boosting",0.919283667070614
"24","HMEQ",2,"RE_RF",0.913020178121453
"25","HMEQ",2,"RE_bag",0.910567641910478
"26","HMEQ",2,"SRE_RF",0.905497143516648
"27","HMEQ",2,"SRE_bag",0.910539942677977
"28","HMEQ",2,"SRE_boosting",0.916077480908689
"29","HMEQ",2,"SRE_PLTR",0.912785119356762
"30","HMEQ",2,"PLTR",0.914717910246792
"31","HMEQ",3,"LRR",0.903312255977336
"32","HMEQ",3,"GAM",0.924741984952749
"33","HMEQ",3,"LDA",0.906100979241755
"34","HMEQ",3,"CTREE",0.864973125620842
"35","HMEQ",3,"RF",0.95341511687579
"36","HMEQ",3,"XGB",0.944692572707875
"37","HMEQ",3,"LGBM",0.948511780611433
"38","HMEQ",3,"RE_boosting",0.925356449400841
"39","HMEQ",3,"RE_RF",0.925272420074606
"40","HMEQ",3,"RE_bag",0.920445985648991
"41","HMEQ",3,"SRE_RF",0.932219844725809
"42","HMEQ",3,"SRE_bag",0.918260097774123
"43","HMEQ",3,"SRE_boosting",0.923431277515853
"44","HMEQ",3,"SRE_PLTR",0.917291884867819
"45","HMEQ",3,"PLTR",0.916625652352671
"46","HMEQ",4,"LRR",0.893901410601418
"47","HMEQ",4,"GAM",0.915282576851036
"48","HMEQ",4,"LDA",0.895342475424013
"49","HMEQ",4,"CTREE",0.871112175156134
"50","HMEQ",4,"RF",0.947313657196922
"51","HMEQ",4,"XGB",0.941129662838407
"52","HMEQ",4,"LGBM",0.941182609309524
"53","HMEQ",4,"RE_boosting",0.925407630277094
"54","HMEQ",4,"RE_RF",0.9179974263411
"55","HMEQ",4,"RE_bag",0.909130810779288
"56","HMEQ",4,"SRE_RF",0.909409355257776
"57","HMEQ",4,"SRE_bag",0.9103386041929
"58","HMEQ",4,"SRE_boosting",0.919670995232516
"59","HMEQ",4,"SRE_PLTR",0.915156733064611
"60","HMEQ",4,"PLTR",0.911479639012495
"61","HMEQ",5,"LRR",0.901618207523973
"62","HMEQ",5,"GAM",0.921255686009343
"63","HMEQ",5,"LDA",0.903377796901893
"64","HMEQ",5,"CTREE",0.888166953528399
"65","HMEQ",5,"RF",0.954466590853209
"66","HMEQ",5,"XGB",0.949910867961642
"67","HMEQ",5,"LGBM",0.949894731989181
"68","HMEQ",5,"RE_boosting",0.92339946520777
"69","HMEQ",5,"RE_RF",0.926689666830588
"70","HMEQ",5,"RE_bag",0.911750061470371
"71","HMEQ",5,"SRE_RF",0.905171963363659
"72","HMEQ",5,"SRE_bag",0.908330003688222
"73","HMEQ",5,"SRE_boosting",0.923545841529383
"74","HMEQ",5,"SRE_PLTR",0.91788557290386
"75","HMEQ",5,"PLTR",0.918648573887386
"76","HMEQ",6,"LRR",0.899852015030777
"77","HMEQ",6,"GAM",0.925812699732878
"78","HMEQ",6,"LDA",0.899318519850591
"79","HMEQ",6,"CTREE",0.882378923943219
"80","HMEQ",6,"RF",0.956619049224671
"81","HMEQ",6,"XGB",0.945773811530839
"82","HMEQ",6,"LGBM",0.944862673695016
"83","HMEQ",6,"RE_boosting",0.934816929480479
"84","HMEQ",6,"RE_RF",0.926626429740858
"85","HMEQ",6,"RE_bag",0.918023070669379
"86","HMEQ",6,"SRE_RF",0.927124333599332
"87","HMEQ",6,"SRE_bag",0.91674103379677
"88","HMEQ",6,"SRE_boosting",0.936283666580498
"89","HMEQ",6,"SRE_PLTR",0.919469202267355
"90","HMEQ",6,"PLTR",0.916849680989364
