"","dataset","nr_fold","algorithm","metric"
"1","GMSC",1,"LRR",0.00458863257231706
"2","GMSC",1,"GAM",0.00205721328299961
"3","GMSC",1,"LDA",0.000450402023060181
"4","GMSC",1,"CTREE",0.00388577052486352
"5","GMSC",1,"RF",0.00430485208063918
"6","GMSC",1,"XGB",0.00433142512494235
"7","GMSC",1,"LGBM",0.00408591283761932
"8","GMSC",1,"RE_boosting",0.00445293050834976
"9","GMSC",1,"RE_RF",0.00457190110887923
"10","GMSC",1,"RE_bag",0.0045842766882078
"11","GMSC",1,"SRE_RF",0.00211291994222967
"12","GMSC",1,"SRE_bag",0.00457678798675728
"13","GMSC",1,"SRE_boosting",0.00466266751916289
"14","GMSC",1,"SRE_PLTR",0.00466882209743383
"15","GMSC",1,"PLTR",0.00415036062651996
"16","GMSC",2,"LRR",0.00441493544207955
"17","GMSC",2,"GAM",0.00219252588512323
"18","GMSC",2,"LDA",0.000340281600161208
"19","GMSC",2,"CTREE",0.00362241876713768
"20","GMSC",2,"RF",0.00395105918075971
"21","GMSC",2,"XGB",0.0041692726454548
"22","GMSC",2,"LGBM",0.00402408268592543
"23","GMSC",2,"RE_boosting",0.00438690270911306
"24","GMSC",2,"RE_RF",0.00453445751936201
"25","GMSC",2,"RE_bag",0.00414563884372733
"26","GMSC",2,"SRE_RF",0.00177652720505817
"27","GMSC",2,"SRE_bag",0.00388802951467967
"28","GMSC",2,"SRE_boosting",0.00442961997603217
"29","GMSC",2,"SRE_PLTR",0.00404928120820244
"30","GMSC",2,"PLTR",0.0032634219509988
"31","GMSC",3,"LRR",0.00464440272248301
"32","GMSC",3,"GAM",0.00235549522882361
"33","GMSC",3,"LDA",0.000577659266804714
"34","GMSC",3,"CTREE",0.00407448255188451
"35","GMSC",3,"RF",0.0042982968044989
"36","GMSC",3,"XGB",0.00454912315192377
"37","GMSC",3,"LGBM",0.00431150782497453
"38","GMSC",3,"RE_boosting",0.00463918506108294
"39","GMSC",3,"RE_RF",0.00449479117886788
"40","GMSC",3,"RE_bag",0.0043090732136689
"41","GMSC",3,"SRE_RF",0.00173169017782836
"42","GMSC",3,"SRE_bag",0.00420516805214392
"43","GMSC",3,"SRE_boosting",0.00471644444209635
"44","GMSC",3,"SRE_PLTR",0.00173169017782836
"45","GMSC",3,"PLTR",0.000197036430305882
"46","GMSC",4,"LRR",0.00428164775451311
"47","GMSC",4,"GAM",0.00176897543106356
"48","GMSC",4,"LDA",0.000293290260886481
"49","GMSC",4,"CTREE",0.00391153851161679
"50","GMSC",4,"RF",0.00390048449778769
"51","GMSC",4,"XGB",0.00370171654702222
"52","GMSC",4,"LGBM",0.00407087405502397
"53","GMSC",4,"RE_boosting",0.00424637610544554
"54","GMSC",4,"RE_RF",0.00450421726471762
"55","GMSC",4,"RE_bag",0.00450142480575268
"56","GMSC",4,"SRE_RF",0.00150132891466613
"57","GMSC",4,"SRE_bag",0.00422225869462785
"58","GMSC",4,"SRE_boosting",0.00451342241590568
"59","GMSC",4,"SRE_PLTR",0.00382262409021093
"60","GMSC",4,"PLTR",0.0032850549364561
"61","GMSC",5,"LRR",0.00461676494858491
"62","GMSC",5,"GAM",0.0025562310528748
"63","GMSC",5,"LDA",0.000288040243494761
"64","GMSC",5,"CTREE",0.00383038405793258
"65","GMSC",5,"RF",0.00447452031341355
"66","GMSC",5,"XGB",0.00448746937953918
"67","GMSC",5,"LGBM",0.00436495422399068
"68","GMSC",5,"RE_boosting",0.00444737180675462
"69","GMSC",5,"RE_RF",0.00453778658174866
"70","GMSC",5,"RE_bag",0.00450507354914443
"71","GMSC",5,"SRE_RF",0.001725881654998
"72","GMSC",5,"SRE_bag",0.00429985397261686
"73","GMSC",5,"SRE_boosting",0.00451196416028703
"74","GMSC",5,"SRE_PLTR",0.001725881654998
"75","GMSC",5,"PLTR",0.000987059018164631
"76","GMSC",6,"LRR",0.00404438616208829
"77","GMSC",6,"GAM",0.00191903522721481
"78","GMSC",6,"LDA",0.000698400267244444
"79","GMSC",6,"CTREE",0.00389593174555652
"80","GMSC",6,"RF",0.00373046434070592
"81","GMSC",6,"XGB",0.00397563564505917
"82","GMSC",6,"LGBM",0.0041208297112051
"83","GMSC",6,"RE_boosting",0.00420250945432705
"84","GMSC",6,"RE_RF",0.00440197644117535
"85","GMSC",6,"RE_bag",0.00459115667798132
"86","GMSC",6,"SRE_RF",0.00225998239722112
"87","GMSC",6,"SRE_bag",0.00446001717226451
"88","GMSC",6,"SRE_boosting",0.00450901240150917
"89","GMSC",6,"SRE_PLTR",0.00427958319628503
"90","GMSC",6,"PLTR",0.00350913356469814
