"","dataset","nr_fold","algorithm","metric"
"1","PAKDD",1,"LRR",0.187181733777061
"2","PAKDD",1,"GAM",0.187822112067651
"3","PAKDD",1,"LDA",0.18784111388857
"4","PAKDD",1,"CTREE",0.187743068534246
"5","PAKDD",1,"RF",0.187507610220393
"6","PAKDD",1,"XGB",0.190019900668543
"7","PAKDD",1,"LGBM",0.187182802647717
"8","PAKDD",1,"RE_boosting",0.187665153277823
"9","PAKDD",1,"RE_RF",0.188077225615913
"10","PAKDD",1,"RE_bag",0.188180632698539
"11","PAKDD",1,"SRE_RF",0.187141058732846
"12","PAKDD",1,"SRE_bag",0.187087070365482
"13","PAKDD",1,"SRE_boosting",0.186536963556065
"14","PAKDD",1,"SRE_PLTR",0.187110963551708
"15","PAKDD",1,"PLTR",0.187378663660812
"16","PAKDD",2,"LRR",0.187462117316659
"17","PAKDD",2,"GAM",0.187829728595682
"18","PAKDD",2,"LDA",0.18771297165929
"19","PAKDD",2,"CTREE",0.187858053499102
"20","PAKDD",2,"RF",0.18754974356553
"21","PAKDD",2,"XGB",0.18938465177231
"22","PAKDD",2,"LGBM",0.186827238725542
"23","PAKDD",2,"RE_boosting",0.187714282586911
"24","PAKDD",2,"RE_RF",0.188103713556299
"25","PAKDD",2,"RE_bag",0.188103411935346
"26","PAKDD",2,"SRE_RF",0.187256353898066
"27","PAKDD",2,"SRE_bag",0.187254386741513
"28","PAKDD",2,"SRE_boosting",0.186980442027677
"29","PAKDD",2,"SRE_PLTR",0.187256275667306
"30","PAKDD",2,"PLTR",0.187466874479385
"31","PAKDD",3,"LRR",0.187404050016755
"32","PAKDD",3,"GAM",0.18789036786472
"33","PAKDD",3,"LDA",0.18781803065452
"34","PAKDD",3,"CTREE",0.18845234396817
"35","PAKDD",3,"RF",0.188384563034926
"36","PAKDD",3,"XGB",0.190063601492911
"37","PAKDD",3,"LGBM",0.187183659872262
"38","PAKDD",3,"RE_boosting",0.187507414779477
"39","PAKDD",3,"RE_RF",0.187730991824569
"40","PAKDD",3,"RE_bag",0.188231399548395
"41","PAKDD",3,"SRE_RF",0.187393346245954
"42","PAKDD",3,"SRE_bag",0.187385075536449
"43","PAKDD",3,"SRE_boosting",0.187271000671096
"44","PAKDD",3,"SRE_PLTR",0.18748580101388
"45","PAKDD",3,"PLTR",0.187829031872572
"46","PAKDD",4,"LRR",0.186961180048471
"47","PAKDD",4,"GAM",0.187603300517289
"48","PAKDD",4,"LDA",0.187432641537178
"49","PAKDD",4,"CTREE",0.187793311660722
"50","PAKDD",4,"RF",0.187774208233601
"51","PAKDD",4,"XGB",0.189553765448404
"52","PAKDD",4,"LGBM",0.18663613455971
"53","PAKDD",4,"RE_boosting",0.187701473796843
"54","PAKDD",4,"RE_RF",0.187991305839106
"55","PAKDD",4,"RE_bag",0.187815692221123
"56","PAKDD",4,"SRE_RF",0.186923559838637
"57","PAKDD",4,"SRE_bag",0.186873059676583
"58","PAKDD",4,"SRE_boosting",0.186873129185627
"59","PAKDD",4,"SRE_PLTR",0.186911844115956
"60","PAKDD",4,"PLTR",0.187159559318797
"61","PAKDD",5,"LRR",0.187155896453059
"62","PAKDD",5,"GAM",0.188079687573133
"63","PAKDD",5,"LDA",0.187944834105886
"64","PAKDD",5,"CTREE",0.188078273127769
"65","PAKDD",5,"RF",0.188165762423726
"66","PAKDD",5,"XGB",0.189941781025969
"67","PAKDD",5,"LGBM",0.186860847080907
"68","PAKDD",5,"RE_boosting",0.187051048292352
"69","PAKDD",5,"RE_RF",0.187395772259433
"70","PAKDD",5,"RE_bag",0.187818495129268
"71","PAKDD",5,"SRE_RF",0.187142828730012
"72","PAKDD",5,"SRE_bag",0.18700808007597
"73","PAKDD",5,"SRE_boosting",0.186821616862187
"74","PAKDD",5,"SRE_PLTR",0.18696108720757
"75","PAKDD",5,"PLTR",0.187445949150296
"76","PAKDD",6,"LRR",0.187367333857188
"77","PAKDD",6,"GAM",0.187807405724764
"78","PAKDD",6,"LDA",0.187759963552413
"79","PAKDD",6,"CTREE",0.188281954175524
"80","PAKDD",6,"RF",0.188482825166531
"81","PAKDD",6,"XGB",0.189427062027486
"82","PAKDD",6,"LGBM",0.186875175905248
"83","PAKDD",6,"RE_boosting",0.187298911108287
"84","PAKDD",6,"RE_RF",0.18766577186893
"85","PAKDD",6,"RE_bag",0.187708945631272
"86","PAKDD",6,"SRE_RF",0.187495161051915
"87","PAKDD",6,"SRE_bag",0.187516095255486
"88","PAKDD",6,"SRE_boosting",0.187042612101798
"89","PAKDD",6,"SRE_PLTR",0.187494840636218
"90","PAKDD",6,"PLTR",0.187784544496069
