"","dataset","nr_fold","algorithm","metric"
"1","AC",1,"LRR",0.0929453335299468
"2","AC",1,"GAM",0.0912746587987754
"3","AC",1,"LDA",0.0960373034396338
"4","AC",1,"CTREE",0.0928354946225443
"5","AC",1,"RF",0.0962729948975503
"6","AC",1,"XGB",0.0921760771090909
"7","AC",1,"LGBM",0.0939306660776938
"8","AC",1,"RE_boosting",0.0965460764234884
"9","AC",1,"RE_RF",0.0944032011925764
"10","AC",1,"RE_bag",0.0938391096116578
"11","AC",1,"SRE_RF",0.0938687731411496
"12","AC",1,"SRE_bag",0.0934273728248119
"13","AC",1,"SRE_boosting",0.0965857163698501
"14","AC",1,"RE_bag",0.0919704651846381
"15","AC",1,"PLTR",0.0937622112973118
"16","AC",2,"LRR",0.110941217683678
"17","AC",2,"GAM",0.105370753344361
"18","AC",2,"LDA",0.111429409297776
"19","AC",2,"CTREE",0.10901765909846
"20","AC",2,"RF",0.111808467677876
"21","AC",2,"XGB",0.109656904023868
"22","AC",2,"LGBM",0.110368237734098
"23","AC",2,"RE_boosting",0.109799468430954
"24","AC",2,"RE_RF",0.111060842815309
"25","AC",2,"RE_bag",0.110510763732516
"26","AC",2,"SRE_RF",0.110774823052622
"27","AC",2,"SRE_bag",0.111447744475154
"28","AC",2,"SRE_boosting",0.109082425258653
"29","AC",2,"RE_bag",0.108134893627666
"30","AC",2,"PLTR",0.11020386788708
"31","AC",3,"LRR",0.100706001251124
"32","AC",3,"GAM",0.0938376256315217
"33","AC",3,"LDA",0.102075867676996
"34","AC",3,"CTREE",0.0969970515136677
"35","AC",3,"RF",0.102479120954844
"36","AC",3,"XGB",0.101215768316629
"37","AC",3,"LGBM",0.0996707911045594
"38","AC",3,"RE_boosting",0.102003394530884
"39","AC",3,"RE_RF",0.0995867185305347
"40","AC",3,"RE_bag",0.102417246319034
"41","AC",3,"SRE_RF",0.0983544858277841
"42","AC",3,"SRE_bag",0.101890353128915
"43","AC",3,"SRE_boosting",0.102337365864502
"44","AC",3,"RE_bag",0.0977917825351199
"45","AC",3,"PLTR",0.0992847296554753
"46","AC",4,"LRR",0.101091103832387
"47","AC",4,"GAM",0.0941441284080773
"48","AC",4,"LDA",0.103631966341955
"49","AC",4,"CTREE",0.102518530810121
"50","AC",4,"RF",0.102395283915157
"51","AC",4,"XGB",0.10203173435229
"52","AC",4,"LGBM",0.102643619116281
"53","AC",4,"RE_boosting",0.102532994335816
"54","AC",4,"RE_RF",0.103206357013076
"55","AC",4,"RE_bag",0.102236736744818
"56","AC",4,"SRE_RF",0.102721316123265
"57","AC",4,"SRE_bag",0.103015975526154
"58","AC",4,"SRE_boosting",0.100559168291891
"59","AC",4,"RE_bag",0.101907637681792
"60","AC",4,"PLTR",0.102452115851691
"61","AC",5,"LRR",0.0893778361093762
"62","AC",5,"GAM",0.0905044233131462
"63","AC",5,"LDA",0.0913548001677361
"64","AC",5,"CTREE",0.0899932611956522
"65","AC",5,"RF",0.0918874085146528
"66","AC",5,"XGB",0.0889319063064463
"67","AC",5,"LGBM",0.0878559936086251
"68","AC",5,"RE_boosting",0.0921565673236945
"69","AC",5,"RE_RF",0.0924705009340643
"70","AC",5,"RE_bag",0.0915482414376812
"71","AC",5,"SRE_RF",0.0899454107966374
"72","AC",5,"SRE_bag",0.0916190780916462
"73","AC",5,"SRE_boosting",0.0907194774759567
"74","AC",5,"RE_bag",0.0889118513142414
"75","AC",5,"PLTR",0.0910180148809495
"76","AC",6,"LRR",0.11257071702734
"77","AC",6,"GAM",0.104903946132002
"78","AC",6,"LDA",0.113131731022007
"79","AC",6,"CTREE",0.111539868397616
"80","AC",6,"RF",0.111772180948737
"81","AC",6,"XGB",0.110508363043245
"82","AC",6,"LGBM",0.11247491554746
"83","AC",6,"RE_boosting",0.113694147755828
"84","AC",6,"RE_RF",0.113974594156767
"85","AC",6,"RE_bag",0.11398472965722
"86","AC",6,"SRE_RF",0.113977221647434
"87","AC",6,"SRE_bag",0.114009043597841
"88","AC",6,"SRE_boosting",0.112649454679373
"89","AC",6,"RE_bag",0.112018350586312
"90","AC",6,"PLTR",0.107940519152746
