"","dataset","nr_fold","algorithm","metric"
"1","LC",1,"LRR",0.0960881593619757
"2","LC",1,"GAM",0.0967685049137364
"3","LC",1,"LDA",0.0975648876034844
"4","LC",1,"CTREE",0.0947772449760483
"5","LC",1,"RF",0.0962261202291528
"6","LC",1,"XGB",0.0966962272449865
"7","LC",1,"LGBM",0.0962006595824599
"8","LC",1,"RE_boosting",0.096172435867527
"9","LC",1,"RE_RF",0.0959502388698883
"10","LC",1,"RE_bag",0.095765586555324
"11","LC",1,"SRE_RF",0.0973459592295278
"12","LC",1,"SRE_bag",0.0963843707175873
"13","LC",1,"SRE_boosting",0.0962393142567925
"14","LC",1,"SRE_PLTR",0.0967183170821932
"15","LC",1,"PLTR",0.096437948412152
"16","LC",2,"LRR",0.0813106982355956
"17","LC",2,"GAM",0.0820224296066398
"18","LC",2,"LDA",0.0827145613031024
"19","LC",2,"CTREE",0.0799048071150293
"20","LC",2,"RF",0.0803401126866359
"21","LC",2,"XGB",0.0798685567149779
"22","LC",2,"LGBM",0.0805791243613223
"23","LC",2,"RE_boosting",0.0796723417680312
"24","LC",2,"RE_RF",0.0812942837120708
"25","LC",2,"RE_bag",0.0804487240799668
"26","LC",2,"SRE_RF",0.0826219583827281
"27","LC",2,"SRE_bag",0.0812032135604518
"28","LC",2,"SRE_boosting",0.0795381716171918
"29","LC",2,"SRE_PLTR",0.0809733262144703
"30","LC",2,"PLTR",0.0807018514565234
"31","LC",3,"LRR",0.0867672712186455
"32","LC",3,"GAM",0.0883337291953185
"33","LC",3,"LDA",0.0888341689107984
"34","LC",3,"CTREE",0.08478185847097
"35","LC",3,"RF",0.0872724019296482
"36","LC",3,"XGB",0.0865105562340442
"37","LC",3,"LGBM",0.08590140944438
"38","LC",3,"RE_boosting",0.0868589280524724
"39","LC",3,"RE_RF",0.0873631122485097
"40","LC",3,"RE_bag",0.087763493538367
"41","LC",3,"SRE_RF",0.0887074732511646
"42","LC",3,"SRE_bag",0.0883169496742372
"43","LC",3,"SRE_boosting",0.0869172047004581
"44","LC",3,"SRE_PLTR",0.0877530666582225
"45","LC",3,"PLTR",0.0875553201837879
"46","LC",4,"LRR",0.0900472842020732
"47","LC",4,"GAM",0.091104475029809
"48","LC",4,"LDA",0.0913302875631313
"49","LC",4,"CTREE",0.0894537602677213
"50","LC",4,"RF",0.0909911872915428
"51","LC",4,"XGB",0.0898044187561416
"52","LC",4,"LGBM",0.0902060224489891
"53","LC",4,"RE_boosting",0.0902348696114127
"54","LC",4,"RE_RF",0.0906164585770983
"55","LC",4,"RE_bag",0.0900664809069441
"56","LC",4,"SRE_RF",0.0913332041486032
"57","LC",4,"SRE_bag",0.0913473990756967
"58","LC",4,"SRE_boosting",0.0899696712339976
"59","LC",4,"SRE_PLTR",0.0908797391963239
"60","LC",4,"PLTR",0.0907680597829528
"61","LC",5,"LRR",0.092086452309825
"62","LC",5,"GAM",0.0921938501824165
"63","LC",5,"LDA",0.0930740167594836
"64","LC",5,"CTREE",0.0885489493760796
"65","LC",5,"RF",0.0902351289578028
"66","LC",5,"XGB",0.0910444305059432
"67","LC",5,"LGBM",0.0900848239817776
"68","LC",5,"RE_boosting",0.0911821873414721
"69","LC",5,"RE_RF",0.091221958820292
"70","LC",5,"RE_bag",0.0896667993392354
"71","LC",5,"SRE_RF",0.0925291376662973
"72","LC",5,"SRE_bag",0.0902624382653817
"73","LC",5,"SRE_boosting",0.0908133897055223
"74","LC",5,"SRE_PLTR",0.0904219640746879
"75","LC",5,"PLTR",0.0898224222763267
"76","LC",6,"LRR",0.0855295960091146
"77","LC",6,"GAM",0.0864166867347016
"78","LC",6,"LDA",0.087045326295083
"79","LC",6,"CTREE",0.0850552602880211
"80","LC",6,"RF",0.0861833716344705
"81","LC",6,"XGB",0.0860812891595673
"82","LC",6,"LGBM",0.0860652531303045
"83","LC",6,"RE_boosting",0.0861889982007502
"84","LC",6,"RE_RF",0.0862268270134758
"85","LC",6,"RE_bag",0.086692330729508
"86","LC",6,"SRE_RF",0.0868120152870579
"87","LC",6,"SRE_bag",0.0870068743800108
"88","LC",6,"SRE_boosting",0.0863291230022697
"89","LC",6,"SRE_PLTR",0.0865803503287128
"90","LC",6,"PLTR",0.0866482704204559
