"","dataset","nr_fold","algorithm","metric"
"1","GC",1,"LRR",0.0378535659945808
"2","GC",1,"GAM",0.0390954497317185
"3","GC",1,"LDA",0.039650083740459
"4","GC",1,"CTREE",0.0337311131828117
"5","GC",1,"RF",0.0401367191733262
"6","GC",1,"XGB",0.0359316151711494
"7","GC",1,"LGBM",0.0394575899417568
"8","GC",1,"RE_boosting",0.0383197848847273
"9","GC",1,"RE_RF",0.0381223177810162
"10","GC",1,"RE_bag",0.0383660643475137
"11","GC",1,"SRE_RF",0.0359932624342209
"12","GC",1,"SRE_bag",0.0387380820218217
"13","GC",1,"SRE_boosting",0.0377537926730096
"14","GC",1,"SRE_PLTR",0.0370305678200564
"15","GC",1,"PLTR",0.0359410254040567
"16","GC",2,"LRR",0.0413207028270137
"17","GC",2,"GAM",0.0415073191457389
"18","GC",2,"LDA",0.0425467675850129
"19","GC",2,"CTREE",0.0369845379933263
"20","GC",2,"RF",0.0404302060727321
"21","GC",2,"XGB",0.0379758629836263
"22","GC",2,"LGBM",0.0369140554864222
"23","GC",2,"RE_boosting",0.0445246982816667
"24","GC",2,"RE_RF",0.0419247002000429
"25","GC",2,"RE_bag",0.0429994621356991
"26","GC",2,"SRE_RF",0.041646541442438
"27","GC",2,"SRE_bag",0.0425561011757884
"28","GC",2,"SRE_boosting",0.0452873200274347
"29","GC",2,"SRE_PLTR",0.0418848839888594
"30","GC",2,"PLTR",0.0392757937501778
"31","GC",3,"LRR",0.0429848912034616
"32","GC",3,"GAM",0.0465152612561046
"33","GC",3,"LDA",0.0482784230071789
"34","GC",3,"CTREE",0.0413433962253043
"35","GC",3,"RF",0.0429057525420727
"36","GC",3,"XGB",0.0422633770201338
"37","GC",3,"LGBM",0.041103052019701
"38","GC",3,"RE_boosting",0.0432852352176485
"39","GC",3,"RE_RF",0.0406418965754
"40","GC",3,"RE_bag",0.0436690376658366
"41","GC",3,"SRE_RF",0.0430949244525882
"42","GC",3,"SRE_bag",0.0439208292427836
"43","GC",3,"SRE_boosting",0.0447083424862567
"44","GC",3,"SRE_PLTR",0.0429114664051605
"45","GC",3,"PLTR",0.0417760099864754
"46","GC",4,"LRR",0.033321659274055
"47","GC",4,"GAM",0.0312438788985026
"48","GC",4,"LDA",0.0323235767535841
"49","GC",4,"CTREE",0.0284895872070832
"50","GC",4,"RF",0.0306922593191161
"51","GC",4,"XGB",0.0324374284307394
"52","GC",4,"LGBM",0.0271178814249573
"53","GC",4,"RE_boosting",0.0310688933865556
"54","GC",4,"RE_RF",0.0295153482462391
"55","GC",4,"RE_bag",0.030931407116271
"56","GC",4,"SRE_RF",0.0326852031836675
"57","GC",4,"SRE_bag",0.0303012556376323
"58","GC",4,"SRE_boosting",0.0294589837132579
"59","GC",4,"SRE_PLTR",0.0293953373174692
"60","GC",4,"PLTR",0.0285338417764103
"61","GC",5,"LRR",0.0433162641887333
"62","GC",5,"GAM",0.0416519962681603
"63","GC",5,"LDA",0.041772950186352
"64","GC",5,"CTREE",0.0371499775676943
"65","GC",5,"RF",0.0433593711550889
"66","GC",5,"XGB",0.0405538082617247
"67","GC",5,"LGBM",0.0375510905135556
"68","GC",5,"RE_boosting",0.0403138554268551
"69","GC",5,"RE_RF",0.0386448368483733
"70","GC",5,"RE_bag",0.0382942135095067
"71","GC",5,"SRE_RF",0.0418449554685508
"72","GC",5,"SRE_bag",0.0381224642862281
"73","GC",5,"SRE_boosting",0.0412935855952695
"74","GC",5,"SRE_PLTR",0.0387565399111469
"75","GC",5,"PLTR",0.0382198965754799
"76","GC",6,"LRR",0.039676470779903
"77","GC",6,"GAM",0.040222647396861
"78","GC",6,"LDA",0.0414790763812423
"79","GC",6,"CTREE",0.035103551050676
"80","GC",6,"RF",0.039491151563994
"81","GC",6,"XGB",0.0384714825152949
"82","GC",6,"LGBM",0.0356100612726182
"83","GC",6,"RE_boosting",0.0364882981639955
"84","GC",6,"RE_RF",0.0377683345167784
"85","GC",6,"RE_bag",0.0380157237385722
"86","GC",6,"SRE_RF",0.0370364860045436
"87","GC",6,"SRE_bag",0.0371356667999861
"88","GC",6,"SRE_boosting",0.0361135511988377
"89","GC",6,"SRE_PLTR",0.0366199411576477
"90","GC",6,"PLTR",0.0357275681567919
