"","dataset","nr_fold","algorithm","metric"
"1","LC",1,"LRR",0.216016730989329
"2","LC",1,"GAM",0.214431035815981
"3","LC",1,"LDA",0.215651589898348
"4","LC",1,"CTREE",0.232069694340502
"5","LC",1,"RF",0.214745418629207
"6","LC",1,"XGB",0.233366193541017
"7","LC",1,"LGBM",0.226002871774078
"8","LC",1,"RE_boosting",0.234612582110103
"9","LC",1,"RE_RF",0.232662005506083
"10","LC",1,"RE_bag",0.228746071119893
"11","LC",1,"SRE_RF",0.215726332576411
"12","LC",1,"SRE_bag",0.215337054820335
"13","LC",1,"SRE_boosting",0.21501497416718
"14","LC",1,"SRE_PLTR",0.217689886145413
"15","LC",1,"PLTR",0.217275672673344
"16","LC",2,"LRR",0.219498479996229
"17","LC",2,"GAM",0.219887427154142
"18","LC",2,"LDA",0.218709602458191
"19","LC",2,"CTREE",0.239337374645535
"20","LC",2,"RF",0.229930507191522
"21","LC",2,"XGB",0.240879895108095
"22","LC",2,"LGBM",0.236205927137838
"23","LC",2,"RE_boosting",0.244268672958511
"24","LC",2,"RE_RF",0.232808654330326
"25","LC",2,"RE_bag",0.234774772951466
"26","LC",2,"SRE_RF",0.218786543840632
"27","LC",2,"SRE_bag",0.223998098516174
"28","LC",2,"SRE_boosting",0.217208750732466
"29","LC",2,"SRE_PLTR",0.229572459727298
"30","LC",2,"PLTR",0.22952318679649
"31","LC",3,"LRR",0.209140283637018
"32","LC",3,"GAM",0.211906296742706
"33","LC",3,"LDA",0.209461003203187
"34","LC",3,"CTREE",0.223108877855642
"35","LC",3,"RF",0.212286449659349
"36","LC",3,"XGB",0.250104319992182
"37","LC",3,"LGBM",0.22172637167202
"38","LC",3,"RE_boosting",0.224955065920066
"39","LC",3,"RE_RF",0.211959147927678
"40","LC",3,"RE_bag",0.214835522620972
"41","LC",3,"SRE_RF",0.209275317751557
"42","LC",3,"SRE_bag",0.213865201757006
"43","LC",3,"SRE_boosting",0.210762473506307
"44","LC",3,"SRE_PLTR",0.211303238574065
"45","LC",3,"PLTR",0.211337936231061
"46","LC",4,"LRR",0.220989356611473
"47","LC",4,"GAM",0.220933927920022
"48","LC",4,"LDA",0.222865007293174
"49","LC",4,"CTREE",0.235782316697221
"50","LC",4,"RF",0.223871929409538
"51","LC",4,"XGB",0.235181150204745
"52","LC",4,"LGBM",0.233796500822544
"53","LC",4,"RE_boosting",0.248491460277284
"54","LC",4,"RE_RF",0.251365374748251
"55","LC",4,"RE_bag",0.243654197818097
"56","LC",4,"SRE_RF",0.221305787815401
"57","LC",4,"SRE_bag",0.222710304564406
"58","LC",4,"SRE_boosting",0.223798154128371
"59","LC",4,"SRE_PLTR",0.223320480612473
"60","LC",4,"PLTR",0.223363229049546
"61","LC",5,"LRR",0.214713530531847
"62","LC",5,"GAM",0.213260092289732
"63","LC",5,"LDA",0.214785784840363
"64","LC",5,"CTREE",0.237670474038906
"65","LC",5,"RF",0.220282681470267
"66","LC",5,"XGB",0.23865367324349
"67","LC",5,"LGBM",0.226720613308524
"68","LC",5,"RE_boosting",0.250297721721815
"69","LC",5,"RE_RF",0.229813409244194
"70","LC",5,"RE_bag",0.231434679446005
"71","LC",5,"SRE_RF",0.215634730246569
"72","LC",5,"SRE_bag",0.221892390318692
"73","LC",5,"SRE_boosting",0.218437574614177
"74","LC",5,"SRE_PLTR",0.220645858375296
"75","LC",5,"PLTR",0.220762057630345
"76","LC",6,"LRR",0.214749661197417
"77","LC",6,"GAM",0.214807113307122
"78","LC",6,"LDA",0.214925688613037
"79","LC",6,"CTREE",0.222314387880322
"80","LC",6,"RF",0.218248318824123
"81","LC",6,"XGB",0.229844221966861
"82","LC",6,"LGBM",0.228691231443169
"83","LC",6,"RE_boosting",0.236856651712741
"84","LC",6,"RE_RF",0.228525432078253
"85","LC",6,"RE_bag",0.218596765574603
"86","LC",6,"SRE_RF",0.21484075415186
"87","LC",6,"SRE_bag",0.212476422794947
"88","LC",6,"SRE_boosting",0.220469556970336
"89","LC",6,"SRE_PLTR",0.218521612996381
"90","LC",6,"PLTR",0.218507797109928
