"","dataset","nr_fold","algorithm","metric"
"1","BF",1,"LRR",0.0238578849470308
"2","BF",1,"GAM",0.0318845008454306
"3","BF",1,"LDA",0.0289358528927336
"4","BF",1,"CTREE",0.0245279005068266
"5","BF",1,"RF",0.028351413465541
"6","BF",1,"XGB",0.0374329469910735
"7","BF",1,"LGBM",0.0375950958936145
"8","BF",1,"RE_boosting",0.0362580012481713
"9","BF",1,"RE_RF",0.0370828592298319
"10","BF",1,"RE_bag",0.0348706120751824
"11","BF",1,"SRE_RF",0.0264767254964246
"12","BF",1,"SRE_bag",0.0303494775666666
"13","BF",1,"SRE_boosting",0.0308854969101813
"14","BF",1,"RE_bag",0.0307326418732259
"15","BF",1,"PLTR",0.032239420109288
"16","BF",2,"LRR",0.0238434900901716
"17","BF",2,"GAM",0.0306267378189338
"18","BF",2,"LDA",0.027874688803651
"19","BF",2,"CTREE",0.0234040295054957
"20","BF",2,"RF",0.0283162284070272
"21","BF",2,"XGB",0.0372248036789118
"22","BF",2,"LGBM",0.0369662907238038
"23","BF",2,"RE_boosting",0.0361910186216789
"24","BF",2,"RE_RF",0.0356756217636026
"25","BF",2,"RE_bag",0.0316164077814568
"26","BF",2,"SRE_RF",0.0254358425830555
"27","BF",2,"SRE_bag",0.0272801577742351
"28","BF",2,"SRE_boosting",0.0305674590814806
"29","BF",2,"RE_bag",0.02951450632435
"30","BF",2,"PLTR",0.031779754216449
"31","BF",3,"LRR",0.0254455364000401
"32","BF",3,"GAM",0.0324698810374587
"33","BF",3,"LDA",0.0299063235968544
"34","BF",3,"CTREE",0.025473631186361
"35","BF",3,"RF",0.0297036541718316
"36","BF",3,"XGB",0.0379937619345743
"37","BF",3,"LGBM",0.0377991579968015
"38","BF",3,"RE_boosting",0.036673164993597
"39","BF",3,"RE_RF",0.0365427659428762
"40","BF",3,"RE_bag",0.0358160815670309
"41","BF",3,"SRE_RF",0.0273785470612865
"42","BF",3,"SRE_bag",0.0309759210563458
"43","BF",3,"SRE_boosting",0.0316172364963924
"44","BF",3,"RE_bag",0.0314713061869499
"45","BF",3,"PLTR",0.0327833269593276
"46","BF",4,"LRR",0.0219940698071582
"47","BF",4,"GAM",0.0299878959398523
"48","BF",4,"LDA",0.0269453557199143
"49","BF",4,"CTREE",0.0228322724851192
"50","BF",4,"RF",0.0275510026490528
"51","BF",4,"XGB",0.0369959134963047
"52","BF",4,"LGBM",0.0373212748853312
"53","BF",4,"RE_boosting",0.0330849233042899
"54","BF",4,"RE_RF",0.0343846483032
"55","BF",4,"RE_bag",0.0330104710205818
"56","BF",4,"SRE_RF",0.0246135131340237
"57","BF",4,"SRE_bag",0.0282289052125871
"58","BF",4,"SRE_boosting",0.0285729179548133
"59","BF",4,"RE_bag",0.0283125246824291
"60","BF",4,"PLTR",0.0309340789166702
"61","BF",5,"LRR",0.0245331377528035
"62","BF",5,"GAM",0.0312765217552183
"63","BF",5,"LDA",0.0287981749459447
"64","BF",5,"CTREE",0.0249557102850293
"65","BF",5,"RF",0.0290105477239537
"66","BF",5,"XGB",0.0379169933746695
"67","BF",5,"LGBM",0.0386218929304864
"68","BF",5,"RE_boosting",0.036809879132025
"69","BF",5,"RE_RF",0.0356571530163648
"70","BF",5,"RE_bag",0.0350987162918429
"71","BF",5,"SRE_RF",0.0268480490754857
"72","BF",5,"SRE_bag",0.030624870855657
"73","BF",5,"SRE_boosting",0.0308785590104106
"74","BF",5,"RE_bag",0.0308815090103099
"75","BF",5,"PLTR",0.0326408926073964
"76","BF",6,"LRR",0.0228382085931426
"77","BF",6,"GAM",0.0310760734391289
"78","BF",6,"LDA",0.0280941742775337
"79","BF",6,"CTREE",0.0233707269212928
"80","BF",6,"RF",0.0277617554841273
"81","BF",6,"XGB",0.0363675449217816
"82","BF",6,"LGBM",0.036491395431578
"83","BF",6,"RE_boosting",0.0313609257495624
"84","BF",6,"RE_RF",0.0352859129970717
"85","BF",6,"RE_bag",0.0278746696780469
"86","BF",6,"SRE_RF",0.0250813079395121
"87","BF",6,"SRE_bag",0.0289565160220211
"88","BF",6,"SRE_boosting",0.0301686205296183
"89","BF",6,"RE_bag",0.0283771965206182
"90","BF",6,"PLTR",0.0305773610527904
