"","dataset","nr_fold","algorithm","metric"
"1","TH02",1,"LRR",0.0234398905328402
"2","TH02",1,"GAM",0.0192577172406928
"3","TH02",1,"LDA",0.0189663637028136
"4","TH02",1,"CTREE",0.0150155605578617
"5","TH02",1,"RF",0.0170515157804342
"6","TH02",1,"XGB",0.0152797659342439
"7","TH02",1,"LGBM",0.0173075743694037
"8","TH02",1,"RE_boosting",0.0166019190232735
"9","TH02",1,"RE_RF",0.0190083929886758
"10","TH02",1,"RE_bag",0.0174779752024073
"11","TH02",1,"SRE_RF",0.0149560866628321
"12","TH02",1,"SRE_bag",0.0116772581615249
"13","TH02",1,"SRE_boosting",0.0172079921003654
"14","TH02",1,"SRE_PLTR",0.0180666375081012
"15","TH02",1,"PLTR",0.0187452352149602
"16","TH02",2,"LRR",0.0165717999635774
"17","TH02",2,"GAM",0.0152051598053984
"18","TH02",2,"LDA",0.0164638773157866
"19","TH02",2,"CTREE",0.01302528942653
"20","TH02",2,"RF",0.0161362177416182
"21","TH02",2,"XGB",0.0168292611042418
"22","TH02",2,"LGBM",0.0144711446536339
"23","TH02",2,"RE_boosting",0.0145747692439669
"24","TH02",2,"RE_RF",0.0149352874872121
"25","TH02",2,"RE_bag",0.0158909536634884
"26","TH02",2,"SRE_RF",0.0124079623658615
"27","TH02",2,"SRE_bag",0.0138022698113454
"28","TH02",2,"SRE_boosting",0.013113633204678
"29","TH02",2,"SRE_PLTR",0.0140176464553619
"30","TH02",2,"PLTR",0.0145479204401237
"31","TH02",3,"LRR",0.0210988881343846
"32","TH02",3,"GAM",0.014281361882569
"33","TH02",3,"LDA",0.0196531162277932
"34","TH02",3,"CTREE",0.0159521200229473
"35","TH02",3,"RF",0.0172189986789017
"36","TH02",3,"XGB",0.0150158575806155
"37","TH02",3,"LGBM",0.0149699539024379
"38","TH02",3,"RE_boosting",0.018369264929371
"39","TH02",3,"RE_RF",0.0165922136657383
"40","TH02",3,"RE_bag",0.0168493556327636
"41","TH02",3,"SRE_RF",0.0160727397917476
"42","TH02",3,"SRE_bag",0.0158142491959585
"43","TH02",3,"SRE_boosting",0.0171149237894017
"44","TH02",3,"SRE_PLTR",0.021624281335548
"45","TH02",3,"PLTR",0.0220277554089166
"46","TH02",4,"LRR",0.0134383498874679
"47","TH02",4,"GAM",0.0122665076145157
"48","TH02",4,"LDA",0.0129905363090368
"49","TH02",4,"CTREE",0.0116998560744493
"50","TH02",4,"RF",0.0131971463289932
"51","TH02",4,"XGB",0.0134081728161946
"52","TH02",4,"LGBM",0.0114325593193711
"53","TH02",4,"RE_boosting",0.0140655061055694
"54","TH02",4,"RE_RF",0.0140984848157635
"55","TH02",4,"RE_bag",0.0146228936710427
"56","TH02",4,"SRE_RF",0.012471323149183
"57","TH02",4,"SRE_bag",0.0132651236610194
"58","TH02",4,"SRE_boosting",0.0127858076867561
"59","TH02",4,"SRE_PLTR",0.0129107941814808
"60","TH02",4,"PLTR",0.0133301249707854
"61","TH02",5,"LRR",0.0179036862959662
"62","TH02",5,"GAM",0.0162343214219674
"63","TH02",5,"LDA",0.0167888738373884
"64","TH02",5,"CTREE",0.0167730128510114
"65","TH02",5,"RF",0.0176231387263084
"66","TH02",5,"XGB",0.0181125452766794
"67","TH02",5,"LGBM",0.0160328676453999
"68","TH02",5,"RE_boosting",0.0187257442501307
"69","TH02",5,"RE_RF",0.0190803430837174
"70","TH02",5,"RE_bag",0.0189618725861434
"71","TH02",5,"SRE_RF",0.0186995966112017
"72","TH02",5,"SRE_bag",0.0195862412876367
"73","TH02",5,"SRE_boosting",0.0168112634516242
"74","TH02",5,"SRE_PLTR",0.0180577370078966
"75","TH02",5,"PLTR",0.0173055134773448
"76","TH02",6,"LRR",0.0129854586398693
"77","TH02",6,"GAM",0.00897980386629629
"78","TH02",6,"LDA",0.0138389936635577
"79","TH02",6,"CTREE",0.0113959067866089
"80","TH02",6,"RF",0.0161296759905214
"81","TH02",6,"XGB",0.0108066725641157
"82","TH02",6,"LGBM",0.0108098624569101
"83","TH02",6,"RE_boosting",0.0115370905829075
"84","TH02",6,"RE_RF",0.012565779700475
"85","TH02",6,"RE_bag",0.0109490312192505
"86","TH02",6,"SRE_RF",0.00855462084902951
"87","TH02",6,"SRE_bag",0.0121227036529803
"88","TH02",6,"SRE_boosting",0.0108643727647828
"89","TH02",6,"SRE_PLTR",0.0143040649788077
"90","TH02",6,"PLTR",0.0134945047011696
